generations,population_size,gpu_runtime,run_time
500,10,51.0,36.274647502991485
500,100,353.66666666666663,241.4465038175274
500,200,774.6666666666666,492.66707647288376
500,500,2396.333333333333,3267.6303608703697
500,1000,4296.666666666667,6685.368549609075
1000,10,84.66666666666667,54.84272622563288
1000,100,688.3333333333335,492.29308434178625
1000,200,1521.6666666666665,1059.2086545946402
1000,500,4724.0,6410.193287059014
1000,1000,8584.666666666666,12762.479206507836
10000,10,723.0,446.99809824514557
10000,100,6727.0,4567.695559493923
10000,200,15071.333333333334,10734.778726104116
10000,500,47102.00000000001,68745.18576348704
10000,1000,85100.33333333333,124590.46187746916
50000,10,3512.6666666666665,2279.842236797394
50000,100,33483.0,24053.73573089237
50000,200,75858.66666666666,54973.82286805928
50000,500,235165.33333333334,386997.0558644231
50000,1000,425511.3333333334,679273.920708089
100000,10,7019.333333333333,4328.944144831787
100000,100,68483.0,46325.16604405818
100000,200,152545.0,104782.17875213662
100000,500,316583.3333333333,516167.6913765263
100000,1000,856798.0000000001,1412202.8471802427
