city,generations,population_size,offspring_size,scheme,init_time,run_time
qa194.tsp,500,10,1,Truncation,2.3333333333333335,51.0
qa194.tsp,1000,10,1,Truncation,2.3333333333333335,84.66666666666667
qa194.tsp,10000,10,1,Truncation,2.0,723.0
qa194.tsp,50000,10,1,Truncation,1.6666666666666667,3512.6666666666665
qa194.tsp,100000,10,1,Truncation,1.6666666666666667,7019.333333333333
qa194.tsp,500,100,10,Truncation,2.3333333333333335,353.66666666666663
qa194.tsp,1000,100,10,Truncation,2.3333333333333335,688.3333333333335
qa194.tsp,10000,100,10,Truncation,2.3333333333333335,6727.0
qa194.tsp,50000,100,10,Truncation,2.3333333333333335,33483.0
qa194.tsp,100000,100,10,Truncation,2.3333333333333335,68483.0
qa194.tsp,500,200,20,Truncation,2.3333333333333335,774.6666666666666
qa194.tsp,1000,200,20,Truncation,2.3333333333333335,1521.6666666666665
qa194.tsp,10000,200,20,Truncation,2.3333333333333335,15071.333333333334
qa194.tsp,50000,200,20,Truncation,2.3333333333333335,75858.66666666666
qa194.tsp,100000,200,20,Truncation,2.3333333333333335,152545.0
qa194.tsp,500,500,50,Truncation,2.3333333333333335,2396.333333333333
qa194.tsp,1000,500,50,Truncation,2.3333333333333335,4724.0
qa194.tsp,10000,500,50,Truncation,2.3333333333333335,47102.00000000001
qa194.tsp,50000,500,50,Truncation,2.3333333333333335,235165.33333333334
qa194.tsp,100000,500,50,Truncation,1.6666666666666667,316583.3333333333
qa194.tsp,500,1000,100,Truncation,1.6666666666666667,4296.666666666667
qa194.tsp,1000,1000,100,Truncation,1.6666666666666667,8584.666666666666
qa194.tsp,10000,1000,100,Truncation,2.0,85100.33333333333
qa194.tsp,50000,1000,100,Truncation,1.6666666666666667,425511.3333333334
qa194.tsp,100000,1000,100,Truncation,1.6666666666666667,856798.0000000001
qa194.tsp,1000,500,100,Truncation,2.6666666666666665,9286.666666666668
qa194.tsp,1000,500,150,Truncation,2.3333333333333335,14014.333333333334
qa194.tsp,1000,500,200,Truncation,2.3333333333333335,18791.0
qa194.tsp,1000,500,250,Truncation,2.3333333333333335,23744.333333333332
qa194.tsp,1000,500,300,Truncation,2.6666666666666665,28224.333333333336
qa194.tsp,1000,500,350,Truncation,2.3333333333333335,33405.0
